X Y 
10 1.6666666666666667 
20 2.2222222222222223 
40 2.3529411764705883 
80 2.4242424242424243 
160 2.1333333333333333 
320 2.269503546099291 
640 2.3703703703703702 
1280 2.2338568935427574 
2560 2.1843003412969284 
5120 2.2021505376344086 
10240 2.2599867578900903 
20480 2.2243944824589987 
40960 2.238740708351552 
81920 2.21573082332576 
163840 2.245675594177472 
327680 2.2423869157599396 
655360 2.227002266556567 
